Device	Assay Name	AssayType	AssayTypeCode	Species	Name	UnitsSystem	Units	dblConversionFactor	nPrecision	VeryLow	Low	High	VeryHigh					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	African Gray	English	U/L			0	2	21	44.3					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	African Gray	French	U/L			0	2	21	44.3					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	African Gray	S.I.	U/L			0	2	21	44.3					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Amazon Blue-Feather	English	U/L			0	0	19	40.1					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Amazon Blue-Feather	French	U/L			0	0	19	40.1					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Amazon Blue-Feather	S.I.	U/L			0	0	19	40.1					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Amazon Yellow	English	U/L			0	0	7	14.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Amazon Yellow	French	U/L			0	0	7	14.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Amazon Yellow	S.I.	U/L			0	0	7	14.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Budgerigar	English	U/L			0	4	98	206.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Budgerigar	French	U/L			0	4	98	206.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Budgerigar	S.I.	U/L			0	4	98	206.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Canary	English	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Canary	French	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Canary	S.I.	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Cockatiel	English	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Cockatiel	French	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Cockatiel	S.I.	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Cockatoo Molu	English	U/L			0	0	8	16.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Cockatoo Molu	French	U/L			0	0	8	16.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Cockatoo Molu	S.I.	U/L			0	0	8	16.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Cockatoo Umber	English	U/L			0	2	14	29.6					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Cockatoo Umber	French	U/L			0	2	14	29.6					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Cockatoo Umber	S.I.	U/L			0	2	14	29.6					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Conure	English	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Conure	French	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Conure	S.I.	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Gray Cheek	English	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Gray Cheek	French	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Gray Cheek	S.I.	U/L			0	0	668	1410.5					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Macaw Blue and Gold	English	U/L			0	0	11	23.2					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Macaw Blue and Gold	French	U/L			0	0	11	23.2					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Macaw Blue and Gold	S.I.	U/L			0	0	11	23.2					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Macaw Hyacinth	English	U/L			0	3	8	16.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Macaw Hyacinth	French	U/L			0	3	8	16.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Macaw Hyacinth	S.I.	U/L			0	3	8	16.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Macaw Scarlet	English	U/L			0	0	7	14.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Macaw Scarlet	French	U/L			0	0	7	14.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Macaw Scarlet	S.I.	U/L			0	0	7	14.8					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Parrot Eclect	English	U/L			0	0	17	35.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Parrot Eclect	French	U/L			0	0	17	35.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Avian	Parrot Eclect	S.I.	U/L			0	0	17	35.9					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Bovine	Beef Cattle	English	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Bovine	Beef Cattle	French	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Bovine	Beef Cattle	S.I.	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Bovine	Dairy Cow	English	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Bovine	Dairy Cow	French	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Bovine	Dairy Cow	S.I.	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Adult Canine	English	U/L			0	10	100	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Adult Canine	French	U/L			0	10	100	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Adult Canine	S.I.	U/L			0	10	100	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Geriatric Canine	English	U/L			0	10	100	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Geriatric Canine	French	U/L			0	10	100	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Geriatric Canine	S.I.	U/L			0	10	100	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Puppy	English	U/L			0	8	75	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Puppy	French	U/L			0	8	75	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Canine	Puppy	S.I.	U/L			0	8	75	2000					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Control	Other Control	English	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Control	Other Control	French	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Control	Other Control	S.I.	U/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Adult Equine	English	U/L			0	5	29	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Adult Equine	French	U/L			0	5	29	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Adult Equine	S.I.	U/L			0	5	29	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Foal	English	U/L			0	0	14	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Foal	French	U/L			0	0	14	500					
Catalyst Dx	alanine aminotransferase	ALT	ALT	Equine	Foal	S.I.	U/L			0	0	14	500					
