Instrument	Panel	Assay
VetTest	General Health Panel	ALB
VetTest	General Health Panel	ALKP
VetTest	General Health Panel	ALT
VetTest	General Health Panel	AMYL
VetTest	General Health Panel	BUN
VetTest	General Health Panel	CA
VetTest	General Health Panel	CHOL
VetTest	General Health Panel	CREA
VetTest	General Health Panel	GLOB
VetTest	General Health Panel	GLU
VetTest	General Health Panel	PHOS
VetTest	General Health Panel	TBIL
VetTest	General Health Panel	TP
VetTest	Diagnostic Health Panel	ALB
VetTest	Diagnostic Health Panel	ALKP
VetTest	Diagnostic Health Panel	ALT
VetTest	Diagnostic Health Panel	AMYL
VetTest	Diagnostic Health Panel	BUN
VetTest	Diagnostic Health Panel	CA
VetTest	Diagnostic Health Panel	CREA
VetTest	Diagnostic Health Panel	GGT
VetTest	Diagnostic Health Panel	GLU
VetTest	Diagnostic Health Panel	LIPA
VetTest	Diagnostic Health Panel	TBIL
VetTest	Diagnostic Health Panel	TP
VetTest	Diagnostic Health Panel	GLOB
VetTest	NSAID Monitoring Panel	ALKP
VetTest	NSAID Monitoring Panel	ALT
VetTest	NSAID Monitoring Panel	AST
VetTest	NSAID Monitoring Panel	BUN
VetTest	NSAID Monitoring Panel	CREA
VetTest	Preanesthetic Panel	ALKP
VetTest	Preanesthetic Panel	ALT
VetTest	Preanesthetic Panel	BUN
VetTest	Preanesthetic Panel	CREA
VetTest	Preanesthetic Panel	GLU
VetTest	Preanesthetic Panel	TP
VetTest	Equine Health Panel	ALB
VetTest	Equine Health Panel	ALKP
VetTest	Equine Health Panel	AST
VetTest	Equine Health Panel	BUN
VetTest	Equine Health Panel	CA
VetTest	Equine Health Panel	CK
VetTest	Equine Health Panel	CREA
VetTest	Equine Health Panel	GGT
VetTest	Equine Health Panel	GLOB
VetTest	Equine Health Panel	GLU
VetTest	Equine Health Panel	LDH
VetTest	Equine Health Panel	TBIL
VetTest	Equine Health Panel	TP
VetTest	Urine P:C Ratio	UCRE
VetTest	Urine P:C Ratio	UPRO
VetTest	Urine P:C Ratio	UPC
VetTest	Avian Health Panel	ALB
VetTest	Avian Health Panel	AST
VetTest	Avian Health Panel	CA
VetTest	Avian Health Panel	GLU
VetTest	Avian Health Panel	TP
VetTest	Avian Health Panel	URIC
VetTest	Avian Health Panel	GLOB
Catalyst Dx	Chem 17 CLIP	ALB
Catalyst Dx	Chem 17 CLIP	ALKP
Catalyst Dx	Chem 17 CLIP	ALT
Catalyst Dx	Chem 17 CLIP	AMYL
Catalyst Dx	Chem 17 CLIP	BUN
Catalyst Dx	Chem 17 CLIP	CA
Catalyst Dx	Chem 17 CLIP	CHOL
Catalyst Dx	Chem 17 CLIP	CREA
Catalyst Dx	Chem 17 CLIP	GGT
Catalyst Dx	Chem 17 CLIP	GLU
Catalyst Dx	Chem 17 CLIP	LIPA
Catalyst Dx	Chem 17 CLIP	PHOS
Catalyst Dx	Chem 17 CLIP	TBIL
Catalyst Dx	Chem 17 CLIP	TP
Catalyst Dx	Chem 17 CLIP	GLOB
Catalyst Dx	Chem 17 CLIP	ALB/GLOB
Catalyst Dx	Chem 17 CLIP	BUN/CREA
Catalyst Dx	Chem 15 CLIP	ALB
Catalyst Dx	Chem 15 CLIP	ALKP
Catalyst Dx	Chem 15 CLIP	ALT
Catalyst Dx	Chem 15 CLIP	BUN
Catalyst Dx	Chem 15 CLIP	CA
Catalyst Dx	Chem 15 CLIP	CHOL
Catalyst Dx	Chem 15 CLIP	CREA
Catalyst Dx	Chem 15 CLIP	GGT
Catalyst Dx	Chem 15 CLIP	GLU
Catalyst Dx	Chem 15 CLIP	PHOS
Catalyst Dx	Chem 15 CLIP	TBIL
Catalyst Dx	Chem 15 CLIP	TP
Catalyst Dx	Chem 15 CLIP	GLOB
Catalyst Dx	Chem 15 CLIP	ALB/GLOB
Catalyst Dx	Chem 15 CLIP	BUN/CREA
Catalyst Dx	Chem 10 CLIP	ALB
Catalyst Dx	Chem 10 CLIP	ALKP
Catalyst Dx	Chem 10 CLIP	ALT
Catalyst Dx	Chem 10 CLIP	BUN
Catalyst Dx	Chem 10 CLIP	CREA
Catalyst Dx	Chem 10 CLIP	GLU
Catalyst Dx	Chem 10 CLIP	TP
Catalyst Dx	Chem 10 CLIP	GLOB
Catalyst Dx	Chem 10 CLIP	ALB/GLOB
Catalyst Dx	Chem 10 CLIP	BUN/CREA
Catalyst Dx	Equine 15 CLIP	ALB
Catalyst Dx	Equine 15 CLIP	ALKP
Catalyst Dx	Equine 15 CLIP	AST
Catalyst Dx	Equine 15 CLIP	BUN
Catalyst Dx	Equine 15 CLIP	CA
Catalyst Dx	Equine 15 CLIP	CK
Catalyst Dx	Equine 15 CLIP	CREA
Catalyst Dx	Equine 15 CLIP	GGT
Catalyst Dx	Equine 15 CLIP	GLU
Catalyst Dx	Equine 15 CLIP	LDH
Catalyst Dx	Equine 15 CLIP	TBIL
Catalyst Dx	Equine 15 CLIP	TP
Catalyst Dx	Equine 15 CLIP	GLOB
Catalyst Dx	Equine 15 CLIP	ALB/GLOB
Catalyst Dx	Equine 15 CLIP	BUN/CREA
Catalyst Dx	NSAID 6 CLIP	ALKP
Catalyst Dx	NSAID 6 CLIP	ALT
Catalyst Dx	NSAID 6 CLIP	AST
Catalyst Dx	NSAID 6 CLIP	BUN
Catalyst Dx	NSAID 6 CLIP	CREA
Catalyst Dx	NSAID 6 CLIP	BUN/CREA
Catalyst Dx	LYTE 4 CLIP	Na
Catalyst Dx	LYTE 4 CLIP	K
Catalyst Dx	LYTE 4 CLIP	Cl
Catalyst Dx	LYTE 4 CLIP	Na/K
Catalyst Dx	Urine P:C Ratio	UPRO
Catalyst Dx	Urine P:C Ratio	UCRE
Catalyst Dx	Urine P:C Ratio	UPC
VetStat	Glucose	GLU
VetStat	Ionized Calcium	Ca++
VetStat	Respiratory Blood Gases	tHb
VetStat	Respiratory Blood Gases	SO2
VetStat	Respiratory Blood Gases	pH
